Pais,Nombre
es,Albacete
es,Alicante
es,Almería
es,Álava
es,Asturias
es,Ávila
es,Badajoz
es,Islas Baleares
es,Barcelona
es,Bizkaia
es,Burgos
es,Cáceres
es,Cádiz
es,Cantabria
es,Castellón
es,Ciudad Real
es,Córdoba
es,A Coruña
es,Cuenca
es,Gipuzkoa
es,Girona
es,Granada
es,Guadalajara
es,Huelva
es,Huesca
es,Jaén
es,León
es,Lleida
es,Lugo
es,Madrid
es,Málaga
es,Murcia
es,Navarra
es,Ourense
es,Palencia
es,Las Palmas
es,Pontevedra
es,La Rioja
es,Salamanca
es,Santa Cruz de Tenerife
es,Segovia
es,Sevilla
es,Soria
es,Tarragona
es,Teruel
es,Toledo
es,Valencia
es,Valladolid
es,Zamora
es,Zaragoza
es,Ceuta
es,Melilla